algorithm_name,len_universe,len_X,len_F,len_G,exe_time

algorithm 1_poly,100,5,15909,16073,0.14
algorithm 1_poly,100,5,15909,16073,0.14
algorithm 1_poly,100,5,31752,32202,0.404
algorithm 1_poly,100,5,31752,32202,0.404
algorithm 1_poly,100,5,48026,48199,0.763
algorithm 1_poly,100,5,48026,48199,0.763
algorithm 1_poly,100,5,64012,64167,1.05
algorithm 1_poly,100,5,64012,64167,1.05
algorithm 1_poly,100,5,80012,80097,1.428
algorithm 1_poly,100,5,80012,80097,1.428
algorithm 1_poly,100,5,95902,96133,1.776
algorithm 1_poly,100,5,95902,96133,1.776
algorithm 1_poly,100,5,111897,112016,2.382
algorithm 1_poly,100,5,111897,112016,2.382
algorithm 1_poly,100,5,127747,128146,2.908
algorithm 1_poly,100,5,127747,128146,2.908
algorithm 1_poly,100,5,143803,144120,3.249
algorithm 1_poly,100,5,143803,144120,3.249
algorithm 1_poly,100,5,159437,160015,3.833
algorithm 1_poly,100,5,159437,160015,3.833
algorithm 1_poly,100,5,15909,16073,0.142
algorithm 1_poly,100,5,15909,16073,0.142
algorithm 1_poly,100,5,31752,32202,0.415
algorithm 1_poly,100,5,31752,32202,0.415
algorithm 1_poly,100,5,48026,48199,0.743
algorithm 1_poly,100,5,48026,48199,0.743
algorithm 1_poly,100,5,64012,64167,1.019
algorithm 1_poly,100,5,64012,64167,1.019
algorithm 1_poly,100,5,80012,80097,1.428
algorithm 1_poly,100,5,80012,80097,1.428
algorithm 1_poly,100,5,95902,96133,1.745
algorithm 1_poly,100,5,95902,96133,1.745
algorithm 1_poly,100,5,111897,112016,2.429
algorithm 1_poly,100,5,111897,112016,2.429
algorithm 1_poly,100,5,127747,128146,2.97
algorithm 1_poly,100,5,127747,128146,2.97
algorithm 1_poly,100,5,143803,144120,3.306
algorithm 1_poly,100,5,143803,144120,3.306
algorithm 1_poly,100,5,159437,160015,3.821
algorithm 1_poly,100,5,159437,160015,3.821
algorithm 1_poly,100,5,15909,16073,0.143
algorithm 1_poly,100,5,15909,16073,0.143
algorithm 1_poly,100,5,31752,32202,0.403
algorithm 1_poly,100,5,31752,32202,0.403
algorithm 1_poly,100,5,48026,48199,0.759
algorithm 1_poly,100,5,48026,48199,0.759
algorithm 1_poly,100,5,64012,64167,1.045
algorithm 1_poly,100,5,64012,64167,1.045
algorithm 1_poly,100,5,80012,80097,1.427
algorithm 1_poly,100,5,80012,80097,1.427
algorithm 1_poly,100,5,95902,96133,1.739
algorithm 1_poly,100,5,95902,96133,1.739
algorithm 1_poly,100,5,111897,112016,2.44
algorithm 1_poly,100,5,111897,112016,2.44
algorithm 1_poly,100,5,127747,128146,2.944
algorithm 1_poly,100,5,127747,128146,2.944
algorithm 1_poly,100,5,143803,144120,3.276
algorithm 1_poly,100,5,143803,144120,3.276
algorithm 1_poly,100,5,159437,160015,3.797
algorithm 1_poly,100,5,159437,160015,3.797
algorithm 1_poly,100,5,15909,16073,0.138
algorithm 1_poly,100,5,15909,16073,0.138
algorithm 1_poly,100,5,31752,32202,0.448
algorithm 1_poly,100,5,31752,32202,0.448
algorithm 1_poly,100,5,48026,48199,0.806
algorithm 1_poly,100,5,48026,48199,0.806
algorithm 1_poly,100,5,64012,64167,1.034
algorithm 1_poly,100,5,64012,64167,1.034
algorithm 1_poly,100,5,80012,80097,1.444
algorithm 1_poly,100,5,80012,80097,1.444
algorithm 1_poly,100,5,95902,96133,1.728
algorithm 1_poly,100,5,95902,96133,1.728
algorithm 1_poly,100,5,111897,112016,2.408
algorithm 1_poly,100,5,111897,112016,2.408
algorithm 1_poly,100,5,127747,128146,2.904
algorithm 1_poly,100,5,127747,128146,2.904
algorithm 1_poly,100,5,143803,144120,3.242
algorithm 1_poly,100,5,143803,144120,3.242
algorithm 1_poly,100,5,159437,160015,3.807
algorithm 1_poly,100,5,159437,160015,3.807
algorithm 1_poly,100,5,15909,16073,0.144
algorithm 1_poly,100,5,15909,16073,0.144
algorithm 1_poly,100,5,31752,32202,0.408
algorithm 1_poly,100,5,31752,32202,0.408
algorithm 1_poly,100,5,48026,48199,0.766
algorithm 1_poly,100,5,48026,48199,0.766
algorithm 1_poly,100,5,64012,64167,1.048
algorithm 1_poly,100,5,64012,64167,1.048
algorithm 1_poly,100,5,80012,80097,1.4
algorithm 1_poly,100,5,80012,80097,1.4
algorithm 1_poly,100,5,95902,96133,1.739
algorithm 1_poly,100,5,95902,96133,1.739
algorithm 1_poly,100,5,111897,112016,2.423
algorithm 1_poly,100,5,111897,112016,2.423
algorithm 1_poly,100,5,127747,128146,2.891
