ID,test_id,dep_type,lhs,rhs
0,0,FD,[469],[845]
1,0,MVD,"[797, 199, 510]","[150, 273, 143]"
2,0,FD,"[147, 624, 518, 312, 893, 190, 194]",[544]
3,0,FD,"[691, 324, 103]",[328]
4,0,FD,"[329, 396, 502]",[326]
5,0,FD,[798],[753]
6,0,MVD,"[731, 319, 674]","[683, 618]"
7,0,MVD,"[459, 518, 819, 5]","[145, 650, 127]"
8,0,FD,"[501, 325, 303, 430, 918, 192]",[562]
9,0,MVD,"[714, 1, 97, 379]",[679]
10,0,FD,"[362, 651, 479, 880, 594, 251, 800, 844, 109, 802, 34, 211, 313, 271, 792, 617, 204, 92, 369, 584, 501, 819, 948, 206, 7]",[854]
11,0,FD,"[478, 986, 880, 862, 265, 548, 565, 130, 969]",[756]
12,0,MVD,[734],"[259, 628, 67, 224, 386, 106, 387, 467, 954]"
13,0,MVD,"[340, 573]","[162, 737, 802, 356, 262, 185, 16, 70, 246, 124, 270, 998, 154]"
14,0,MVD,"[369, 606, 320]",[449]
15,0,MVD,"[208, 299, 535, 924]","[366, 138, 930, 311]"
16,0,FD,"[37, 682, 964, 75, 663, 26, 536, 425]",[534]
17,0,MVD,[535],[583]
18,0,MVD,"[611, 110, 279, 776, 66, 537]",[942]
19,0,FD,"[455, 357, 519]",[775]
20,0,MVD,"[142, 315, 53]","[7, 272, 889, 576, 845, 736, 765, 838]"
21,0,FD,"[947, 665, 296, 956, 871]",[417]
22,0,FD,"[794, 370, 387]",[155]
23,0,FD,[328],[613]
24,0,FD,"[811, 770, 269, 538]",[897]
25,0,MVD,"[475, 907]","[710, 782, 772, 441]"
26,0,MVD,"[135, 493]","[306, 895, 499]"
27,0,MVD,[349],"[231, 852]"
28,0,MVD,"[941, 174, 308, 317, 275, 381, 6, 898]",[334]
29,0,FD,"[153, 525]",[811]
30,0,FD,[180],[793]
31,0,MVD,"[585, 897]","[436, 571]"
32,0,FD,"[482, 472]",[511]
33,0,MVD,"[990, 255]","[936, 268]"
34,0,FD,"[107, 566, 525, 78, 52, 29, 771, 589, 342, 306, 673, 935]",[861]
35,0,MVD,"[585, 498, 11, 311, 523]",[854]
36,0,FD,"[240, 592, 274, 4, 481, 353]",[582]
37,0,FD,"[287, 676, 91]",[214]
38,0,FD,[681],[765]
39,0,MVD,[201],[834]
40,0,FD,"[957, 35, 940]",[30]
41,0,FD,[393],[947]
42,0,MVD,"[484, 99, 531, 78, 867, 163, 670, 25]",[951]
43,0,FD,[497],[909]
44,0,MVD,"[907, 237, 465]","[286, 507, 496, 166, 646, 117]"
45,0,FD,[443],[481]
46,0,MVD,"[326, 253]","[554, 12, 324]"
47,0,FD,[948],[701]
48,0,MVD,[460],[125]
49,0,FD,[235],[460]
50,0,FD,"[620, 779, 635, 950, 905, 131, 456, 366, 540, 646]",[759]
51,0,MVD,"[418, 180, 471, 774, 677, 901]",[444]
52,0,FD,[192],[626]
53,0,MVD,"[665, 487, 148, 647, 486, 239]","[546, 40]"
54,0,FD,"[115, 691, 497, 573, 746, 958, 870, 619, 950]",[580]
55,0,FD,"[249, 315, 103, 232]",[155]
56,0,MVD,"[350, 141, 634, 184, 743, 903, 304, 442, 441, 132, 547]","[764, 656, 373, 976]"
57,0,FD,[583],[840]
58,0,MVD,[414],"[993, 379, 907, 384, 744, 12, 258, 279, 130]"
59,0,FD,[834],[624]
60,0,MVD,"[272, 769]","[373, 671, 289, 964, 506, 155, 342, 648, 967]"
61,0,FD,"[416, 588, 285, 26, 887, 640]",[961]
62,0,FD,"[452, 271]",[691]
63,0,FD,[789],[881]
64,0,FD,"[589, 160]",[672]
65,0,FD,"[859, 955]",[472]
66,0,FD,"[995, 316, 713]",[8]
67,0,MVD,"[475, 661, 535, 817]","[601, 506, 215]"
68,0,FD,[542],[847]
69,0,FD,"[235, 645, 853, 464]",[405]
70,0,FD,[482],[555]
71,0,MVD,"[417, 554, 668, 778, 914, 856, 246]","[497, 711, 158, 883, 467, 804, 59]"
72,0,MVD,"[123, 596, 662, 384]","[100, 563, 722, 334]"
73,0,FD,[986],[771]
74,0,MVD,"[869, 626, 386]","[822, 119]"
75,0,MVD,"[78, 177, 519, 698, 819, 278, 732, 328, 715, 770]",[943]
