ID|test_id|dep_type|lhs|rhs
0|0|MVD|[379, 161, 708, 234, 144, 384, 259, 618, 981, 210, 729, 212, 631]|[196, 63]
1|0|MVD|[209, 773, 828, 961, 857]|[494, 551, 84, 141, 799, 628, 338, 980]
2|0|FD|[516, 779]|[441]
3|0|MVD|[323, 276, 790, 970, 631, 617]|[750, 302, 864, 13, 411]
4|0|MVD|[326, 804, 165, 687]|[304, 461, 898, 459, 101]
5|0|MVD|[473, 687]|[903, 217, 564, 71, 615, 587]
6|0|FD|[105, 269, 156, 55, 133, 289, 379, 477, 744, 676, 780, 604]|[355]
7|0|FD|[394, 442, 319]|[821]
8|0|FD|[966]|[550]
9|0|FD|[651, 873, 20]|[364]
10|0|MVD|[466, 63]|[980, 39, 840, 362, 149, 358, 709, 66]
11|0|FD|[621, 401, 258, 377, 209, 309, 616]|[62]
12|0|MVD|[762, 405]|[320, 618, 720, 116, 996, 763, 302]
13|0|FD|[391]|[523]
14|0|MVD|[937]|[812, 53, 652, 253, 938, 223, 164]
15|0|MVD|[193, 59, 359, 709]|[965, 569]
16|0|FD|[864, 791, 773]|[84]
17|0|FD|[515, 479, 433, 3, 505, 290]|[474]
18|0|FD|[546, 77, 753]|[945]
19|0|FD|[110]|[526]
20|0|MVD|[466, 405, 386, 783, 134, 696, 165, 323, 338, 718]|[802, 1, 141]
21|0|FD|[779, 913, 778, 421, 3, 923, 798, 308, 613, 629, 542, 574, 824, 177, 467]|[313]
22|0|MVD|[202, 341, 38, 724, 663, 337, 994]|[404, 923, 600, 183, 778]
23|0|MVD|[96]|[396]
24|0|FD|[731]|[508]
25|0|FD|[419]|[46]
26|0|MVD|[601]|[332, 254, 489, 226, 809, 644]
27|0|FD|[782, 449, 840]|[669]
28|0|FD|[374, 420, 368]|[130]
29|0|MVD|[545]|[992]
30|0|MVD|[263]|[238, 894, 441, 163, 122]
31|0|FD|[210]|[246]
32|0|FD|[481, 946, 931, 991, 898, 805, 214, 687, 842, 425, 184, 134, 903]|[241]
33|0|FD|[404, 764, 80]|[824]
34|0|MVD|[888, 756, 487]|[337]
35|0|MVD|[43, 203, 432, 473, 724, 986, 210]|[224, 498]
36|0|FD|[284, 152, 705, 503, 221, 330, 626, 885, 644, 901, 277, 739, 562, 190]|[698]
37|0|FD|[83, 555]|[952]
38|0|MVD|[784, 115]|[621, 478, 395, 186, 723, 238, 399, 539, 169]
39|0|MVD|[841, 923]|[578]
40|0|MVD|[709, 713, 946, 449, 348, 253, 457, 587, 614, 743]|[884, 327, 96]
41|0|FD|[738, 980, 990, 440, 293, 120, 849, 334, 734]|[329]
42|0|FD|[862, 772, 148, 439]|[975]
43|0|MVD|[526, 79, 81]|[779, 297]
44|0|FD|[62]|[263]
45|0|FD|[150]|[580]
46|0|FD|[840]|[516]
47|0|FD|[825, 782]|[597]
48|0|FD|[238, 928, 834, 583, 45, 525]|[397]
49|0|MVD|[264, 482, 91, 224, 388, 805, 928, 174, 801, 41]|[981, 436, 5, 798, 577, 308, 192, 772, 971, 524, 493, 918, 896, 957, 141, 818, 408]
50|0|FD|[267, 631, 498]|[111]
51|0|MVD|[821]|[611]
52|0|FD|[224]|[734]
53|0|MVD|[721, 184, 397, 872, 822, 785, 411]|[995]
54|0|MVD|[896, 902, 947, 103, 781, 659, 176, 16]|[837, 939, 607, 518, 69]
55|0|FD|[875, 558]|[677]
56|0|FD|[435, 522, 454, 413, 959, 390]|[672]
57|0|FD|[714]|[175]
58|0|MVD|[294, 634]|[817]
59|0|MVD|[484]|[390, 745, 116, 351, 620, 282, 324, 796]
60|0|MVD|[871]|[708, 995, 911, 258]
61|0|FD|[663, 672, 843, 823, 777, 521, 991, 18, 728, 515, 782, 935, 507, 439, 584, 813, 654, 237, 837, 973, 517, 426]|[270]
62|0|MVD|[876]|[837, 544]
63|0|MVD|[368, 682, 243]|[549]
64|0|MVD|[30]|[489, 14, 937, 599, 709, 152, 61, 67, 903, 534, 649]
65|0|MVD|[17]|[501, 724, 829, 776]
66|0|MVD|[513, 860]|[313, 228, 305, 577, 688, 358, 470, 500, 303, 420, 59, 747, 45]
67|0|FD|[771, 137, 261, 185]|[809]
68|0|MVD|[758, 193, 939, 729]|[962]
69|0|MVD|[855, 880, 259, 235, 276, 181, 865, 175]|[43, 478]
70|0|MVD|[146]|[203, 890]
71|0|MVD|[322]|[898, 283, 553]
72|0|MVD|[6]|[452, 841, 807, 20, 64, 590]
73|0|FD|[411, 275, 867]|[442]
74|0|MVD|[837, 17, 422, 126, 290, 624, 764, 656, 463]|[606, 685]
75|0|MVD|[895, 888]|[425, 182, 514, 840]
76|0|FD|[102]|[671]
77|0|FD|[117, 372, 525, 527, 409, 250, 649, 339, 565]|[923]
78|0|FD|[788, 656, 801]|[165]
79|0|FD|[91]|[268]
80|0|FD|[361]|[179]
81|0|FD|[339, 727, 354]|[314]
82|0|FD|[995]|[608]
83|0|FD|[866, 422, 587, 417, 968, 867, 390, 889]|[231]
84|0|MVD|[180, 691, 968, 408, 93, 398]|[721, 929, 985]
85|0|FD|[244, 296, 511, 183, 455, 259, 192, 264, 649, 945, 334]|[519]
86|0|FD|[423, 727, 313, 377, 198]|[202]
