ID;test_id;dep_type;lhs;rhs
0;0;MVD;[831, 100, 746, 930, 254, 72, 533];[767]
1;0;FD;[302, 517, 896, 391, 362, 294, 892, 765];[903]
2;0;MVD;[271, 273, 234, 554, 205, 168, 602, 521];[887, 999]
3;0;MVD;[368, 563, 212, 517];[794]
4;0;FD;[120, 650];[724]
5;0;FD;[120, 237, 624, 430, 234, 95];[287]
6;0;FD;[868, 795, 120, 634];[42]
7;0;FD;[884, 770, 951, 525, 446];[875]
8;0;MVD;[715];[565, 660, 814]
9;0;MVD;[394, 688, 441, 997, 42, 282];[700, 408]
10;0;FD;[626, 701, 862];[887]
11;0;MVD;[240, 778, 863, 132, 166, 502];[816, 508]
12;0;FD;[859, 418];[257]
13;0;MVD;[898, 903, 703, 251];[243, 210, 258, 203, 492, 97, 571]
14;0;FD;[129, 761, 965, 134, 337, 142, 565, 66, 201];[107]
15;0;MVD;[752, 845];[231, 886, 781, 766]
16;0;MVD;[618, 51, 622, 110, 100];[206, 227, 588, 460, 267, 172, 141]
17;0;MVD;[421, 274];[552, 394, 73, 422, 108, 382, 654, 446, 364]
18;0;MVD;[287, 684, 81, 312];[187, 60]
19;0;MVD;[267, 221, 262, 453, 773, 416, 319, 442];[789, 400, 708, 688, 719, 664, 358, 487, 502, 234, 441]
20;0;MVD;[342];[590, 302]
21;0;FD;[193, 537, 985];[902]
22;0;MVD;[524, 875];[713, 973, 308, 859, 980]
23;0;MVD;[658, 895, 680, 734, 318, 850, 133, 759, 307];[175, 741, 262]
24;0;MVD;[264, 865];[464, 162, 710]
25;0;FD;[984];[228]
26;0;FD;[994, 798];[538]
27;0;FD;[632, 52];[920]
28;0;MVD;[291, 118, 610, 320];[474, 891, 35, 825, 199, 356, 796, 759, 957, 391, 385, 911, 863]
29;0;MVD;[234, 448, 136, 85, 791];[848, 566, 423, 254, 649, 754, 463, 755, 604, 954, 126, 398]
30;0;FD;[81, 711, 947, 10, 727];[168]
31;0;MVD;[378];[113, 624]
32;0;MVD;[416, 276];[816, 604, 31, 866, 260, 338, 120, 850, 875, 210, 140, 937, 283, 998, 495]
33;0;FD;[843, 551, 255, 674, 235, 857, 666, 887, 635];[109]
34;0;MVD;[704];[221]
35;0;FD;[558, 887, 913, 45, 818, 707, 455, 673];[962]
36;0;FD;[235];[485]
37;0;FD;[729, 720, 176];[611]
38;0;MVD;[10, 477, 516];[257, 90, 794]
39;0;MVD;[674, 621, 732];[706, 975]
40;0;FD;[212, 227];[66]
41;0;FD;[136, 59, 935, 651];[540]
42;0;FD;[736, 639];[399]
43;0;FD;[842, 612, 264, 461];[640]
44;0;FD;[931, 166, 420, 945, 485, 773, 594, 838, 926, 829, 407, 867];[425]
45;0;FD;[348, 717];[391]
46;0;FD;[936, 438, 427, 418, 423, 157, 277];[766]
47;0;MVD;[29, 656, 963, 119, 15, 2, 589, 999, 623, 740, 306, 838, 440];[126]
48;0;FD;[239, 138];[704]
49;0;FD;[677];[247]
50;0;FD;[295];[338]
51;0;MVD;[218, 147];[929, 672, 521]
52;0;MVD;[986, 804, 419, 603, 159];[156, 817, 555, 359]
53;0;FD;[996, 418];[901]
54;0;MVD;[128];[180, 700, 796]
55;0;MVD;[535, 101, 89, 644, 232, 18, 621];[205, 932, 295, 596]
